Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-MAY-2024,19023.65,19025.25,18689.8,18821.3,1663632661,25162.96
07-MAY-2024,18860.85,18866.45,18365.2,18471.85,2436320435,26177.1
08-MAY-2024,18446.85,18615.45,18335.05,18568.7,1534688413,24094.78
09-MAY-2024,18602.15,18617.55,18211.85,18245.35,1409040083,21119.4
10-MAY-2024,18303.45,18441.7,18081.1,18423.3,1160550659,21353.72
13-MAY-2024,18435.8,18545.35,18100.95,18516.75,1251592928,23415.46
14-MAY-2024,18563.8,18705.9,18497.3,18690.1,1492954944,20411.19
15-MAY-2024,18755.1,18889.9,18747.4,18865.2,1084496294,22029.92
16-MAY-2024,18931.55,19067.15,18908.85,19048.8,1181001786,26537.76
17-MAY-2024,19111.55,19257.7,19073,19249.2,1349991539,28381.91
18-MAY-2024,19340.5,19379.35,19325.75,19352.6,244343468,3907.61
21-MAY-2024,19372.95,19425.9,19224.7,19413.2,1794102446,35036.71
22-MAY-2024,19498.2,19550.7,19320.8,19469.35,1463374734,32405.32
23-MAY-2024,19553.3,19575.25,19421.35,19562.55,1885194062,31483.99
24-MAY-2024,19584.1,19667.65,19521.7,19553.15,3907609014,32307.2
27-MAY-2024,19642,19717.4,19523.6,19625.9,2035052338,35071.3
28-MAY-2024,19676.15,19709.7,19394,19474.95,1491540773,27112.7
29-MAY-2024,19427.4,19495.1,19336.55,19421.2,1237244130,25039.4
30-MAY-2024,19419.55,19434.45,19165.65,19196.7,1860842395,29422.41
31-MAY-2024,19305.95,19382.2,19123.1,19308.75,4088326077,82373.32
03-JUN-2024,20033.15,20033.15,19716.55,19889.85,2697211219,38569.46
04-JUN-2024,19921.7,19921.7,17744.85,18476.25,5139573841,53985.27
05-JUN-2024,18681.55,19245.55,18188.8,19189.8,2963167593,38458.77
06-JUN-2024,19400.8,19714.05,19385.95,19607.2,1939230692,32727.95
07-JUN-2024,19665.1,19898.25,19593.9,19884.25,2025307454,26753.34
10-JUN-2024,19992,20084.9,19871.7,19956.65,2120246992,37107.4
11-JUN-2024,20042.45,20201,19987.8,20119.55,2023019908,25845.4
12-JUN-2024,20204.35,20338.85,20192.35,20321.2,1862011575,25429.84
13-JUN-2024,20473.55,20520.85,20373.3,20480.05,1447460064,27102.02
14-JUN-2024,20547.85,20710.2,20490.4,20698.25,1915590101,33752.59
